year/country,ISO Code,Year,Urban_Population,Tax%
Afghanistan2003,AFG,2003,22.353,0.165953
Afghanistan2004,AFG,2004,22.5,0.411647
Afghanistan2005,AFG,2005,22.703,0.320864
Afghanistan2006,AFG,2006,22.907,1.261181
Afghanistan2007,AFG,2007,23.113,1.323461
Afghanistan2008,AFG,2008,23.32,1.664719
Afghanistan2009,AFG,2009,23.528,2.608631
Afghanistan2010,AFG,2010,23.737,2.563413
Afghanistan2011,AFG,2011,23.948,2.573097
Afghanistan2012,AFG,2012,24.16,2.4778
Afghanistan2013,AFG,2013,24.373,2.477882
Afghanistan2014,AFG,2014,24.587,2.797326
Afghanistan2015,AFG,2015,24.803,3.240423
Afghanistan2016,AFG,2016,25.02,1.909034
Afghanistan2017,AFG,2017,25.25,2.034525
Albania1992,ALB,1992,37.249,2.503907
Albania1993,ALB,1993,37.799,3.07224
Albania1997,ALB,1997,40.035,1.084135
Albania1998,ALB,1998,40.601,1.662994
Albania1999,ALB,1999,41.169,2.328931
Albania2000,ALB,2000,41.741,2.862336
Albania2001,ALB,2001,42.435,3.287254
Albania2002,ALB,2002,43.501,3.422474
Albania2003,ALB,2003,44.573,3.320605
Albania2005,ALB,2005,46.731,3.784284
Albania2006,ALB,2006,47.815,3.834387
Albania2007,ALB,2007,48.902,3.952142
Albania2008,ALB,2008,49.991,4.18167
Albania2009,ALB,2009,51.076,4.060975
Albania2010,ALB,2010,52.163,3.789956
Albania2011,ALB,2011,53.247,3.770609
Albania2012,ALB,2012,54.33,3.506325
Albania2013,ALB,2013,55.387,3.408268
Albania2014,ALB,2014,56.423,3.619025
Albania2015,ALB,2015,57.434,3.959472
Albania2016,ALB,2016,58.421,2.944866
Algeria2016,DZA,2016,71.459,6.328067
Algeria2017,DZA,2017,72.052,6.64727
Angola1992,AGO,1992,40.039,22.924154
Angola1993,AGO,1993,41.511,25.243338
Angola1994,AGO,1994,0.43,18.8
Angola1995,AGO,1995,44.169,16.735294
Angola1996,AGO,1996,45.346,24.073679
Angola1997,AGO,1997,46.525,12.673448
Angola1998,AGO,1998,47.71,3.198976
Angola1999,AGO,1999,48.897,1.428435
Angola2000,AGO,2000,50.087,1.248684
Angola2001,AGO,2001,51.274,2.198367
Angola2002,AGO,2002,52.461,1.878612
Angola2003,AGO,2003,53.645,2.084368
Angola2004,AGO,2004,54.827,2.154942
Angola2005,AGO,2005,0.56,1.961302
Angola2006,AGO,2006,56.764,2.061875
Antigua and Barbuda1992,ATG,1992,35.085,1.743323
Antigua and Barbuda1993,ATG,1993,34.709,1.653979
Antigua and Barbuda1994,ATG,1994,34.334,1.590195
Antigua and Barbuda1995,ATG,1995,33.961,1.257216
Antigua and Barbuda1996,ATG,1996,33.59,1.408533
Antigua and Barbuda1997,ATG,1997,33.221,1.387378
Antigua and Barbuda1998,ATG,1998,32.855,1.384224
Antigua and Barbuda1999,ATG,1999,32.49,1.696472
Antigua and Barbuda2000,ATG,2000,32.127,1.67336
Antigua and Barbuda2001,ATG,2001,31.74,2.201665
Antigua and Barbuda2002,ATG,2002,31.098,2.792178
Antigua and Barbuda2003,ATG,2003,30.464,2.709957
Antigua and Barbuda2004,ATG,2004,29.837,1.868707
Antigua and Barbuda2005,ATG,2005,29.218,2.311594
Antigua and Barbuda2006,ATG,2006,28.606,3.569142
Antigua and Barbuda2007,ATG,2007,28.002,2.849478
Antigua and Barbuda2008,ATG,2008,27.405,3.017591
Antigua and Barbuda2009,ATG,2009,26.818,2.965204
Antigua and Barbuda2010,ATG,2010,26.238,2.969152
Antigua and Barbuda2011,ATG,2011,25.703,2.260052
Antigua and Barbuda2012,ATG,2012,25.526,2.363192
Antigua and Barbuda2013,ATG,2013,25.35,2.629251
Antigua and Barbuda2014,ATG,2014,25.175,2.108014
Antigua and Barbuda2015,ATG,2015,0.25,2.438198
Antigua and Barbuda2016,ATG,2016,24.846,1.910976
Antigua and Barbuda2017,ATG,2017,24.713,1.809772
Argentina1990,ARG,1990,86.984,0.725242
Argentina1991,ARG,1991,87.328,1.064733
Argentina1992,ARG,1992,87.542,1.367977
Argentina1993,ARG,1993,87.752,1.872911
Argentina1994,ARG,1994,87.96,2.249924
Argentina1995,ARG,1995,88.164,2.311841
Argentina1996,ARG,1996,88.366,2.366931
Argentina1997,ARG,1997,88.564,2.672198
Argentina1998,ARG,1998,88.759,2.96293
Argentina1999,ARG,1999,88.952,3.276607
Argentina2000,ARG,2000,89.142,3.664102
Argentina2001,ARG,2001,89.329,3.674295
Argentina2002,ARG,2002,89.51,2.815507
Argentina2003,ARG,2003,89.686,3.968937
Argentina2004,ARG,2004,89.86,4.856533
Argentina2005,ARG,2005,90.031,5.013047
Argentina2006,ARG,2006,90.2,4.855908
Argentina2007,ARG,2007,90.366,4.930508
Argentina2008,ARG,2008,90.53,4.75991
Argentina2009,ARG,2009,90.691,4.558493
Argentina2010,ARG,2010,90.849,4.719621
Argentina2011,ARG,2011,90.99,5.053549
Argentina2012,ARG,2012,91.121,5.311314
Argentina2013,ARG,2013,91.249,5.545733
Argentina2014,ARG,2014,91.377,5.892197
Argentina2015,ARG,2015,91.503,6.457902
Argentina2016,ARG,2016,91.627,5.310146
Argentina2017,ARG,2017,91.749,5.258498
Armenia1994,ARM,1994,66.332,4.865154
Armenia1995,ARM,1995,66.057,5.90381
Armenia1996,ARM,1996,65.781,3.947315
Armenia1997,ARM,1997,65.504,3.903841
Armenia1998,ARM,1998,65.226,3.286633
Armenia1999,ARM,1999,64.947,4.587602
